question,answer,context,ground_truth,count
What is the capital of France?,Paris is the capital of France.,France is a country in Europe. Its capital is Paris. Citations: ['Encyclopedia Britannica'],The capital of France is Paris.,20
Who developed the theory of relativity?,Albert Einstein developed the theory of relativity.,The theory of relativity was developed by Albert Einstein. Citations: ['NASA Archive'],The theory of relativity was developed by Albert Einstein.,20
What is the speed of light?,"The speed of light is approximately 299,792,458 meters per second.","Light travels at a constant speed in a vacuum, which is 299,792,458 meters per second. Citations: ['Physics Today']","Light travels at a speed of 299,792,458 meters per second.",20
What is the tallest mountain in the world?,Mount Everest is the tallest mountain in the world.,The tallest mountain in the world is Mount Everest. Citations: ['National Geographic'],The world's tallest mountain is Mount Everest.,20
Who is the author of '1984'?,George Orwell is the author of '1984'.,The author of '1984' is George Orwell. Citations: ['Literary Review'],The author of '1984' is George Orwell.,20
What is the capital of Japan?,Tokyo is the capital of Japan.,Japan's capital is Tokyo. Citations: ['Japan Official Tourism Website'],Japan's capital is Tokyo.,20
Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,The Mona Lisa was painted by Leonardo da Vinci. Citations: ['Louvre Museum'],The Mona Lisa was painted by Leonardo da Vinci.,20
What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,The largest planet in our solar system is Jupiter. Citations: ['NASA Solar System Exploration'],The largest planet in our solar system is Jupiter.,20
What is the chemical symbol for water?,H2O is the chemical symbol for water.,The chemical symbol for water is H2O. Citations: ['Chemical Society'],The chemical symbol for water is H2O.,20
What is the largest ocean on Earth?,The Pacific Ocean is the largest ocean on Earth.,The largest ocean on Earth is the Pacific Ocean. Citations: ['Oceanic Administration'],The largest ocean on Earth is the Pacific Ocean.,20
What is the capital of Germany?,Berlin is the capital of Germany.,Germany is known for its beer and sausages.,The capital of Germany is Berlin.,20
What is the smallest planet in our solar system?,Mercury is the smallest planet in our solar system.,The Great Wall of China is one of the largest structures built by humans.,Mercury is the smallest planet in our solar system.,20
Who wrote 'Hamlet'?,William Shakespeare wrote 'Hamlet'.,"The Colosseum is located in Rome, Italy.",William Shakespeare wrote 'Hamlet'.,20
What is the chemical formula for carbon dioxide?,CO2 is the chemical formula for carbon dioxide.,Venus is the second planet from the Sun.,The chemical formula for carbon dioxide is CO2.,20
What is the largest desert in the world?,The Sahara Desert is the largest desert in the world.,Mount Everest is the highest mountain on Earth.,The largest desert in the world is the Sahara Desert.,20
What is the tallest building in the world?,The Burj Khalifa is the tallest building in the world.,The Amazon rainforest is the largest rainforest in the world.,The tallest building in the world is the Burj Khalifa.,20
Who discovered penicillin?,Alexander Fleming discovered penicillin.,The Dead Sea is known for its high salinity.,Alexander Fleming discovered penicillin.,20
What is the largest country by area?,Russia is the largest country by area.,The Pyramids of Giza are located in Egypt.,The largest country by area is Russia.,20
What is the longest river in the world?,The Nile is the longest river in the world.,The Eiffel Tower is a famous landmark in Paris.,The longest river in the world is the Nile.,20
Who invented the telephone?,Alexander Graham Bell invented the telephone.,The Great Barrier Reef is the largest coral reef system.,Alexander Graham Bell invented the telephone.,20
What is the capital of Canada?,Ottawa is the capital of Canada.,The Grand Canyon is a natural wonder located in the United States.,The capital of Canada is Ottawa.,20
What is the freezing point of water?,The freezing point of water is 0 degrees Celsius.,Australia is known for its unique wildlife.,The freezing point of water is 0 degrees Celsius.,20
What is the primary language spoken in Brazil?,Portuguese is the primary language spoken in Brazil.,Brazil is famous for its Carnival festival.,The primary language spoken in Brazil is Portuguese.,20
Who is known as the father of modern physics?,Albert Einstein is known as the father of modern physics.,The Amazon river is the second longest river in the world.,Albert Einstein is known as the father of modern physics.,20
What is the chemical symbol for gold?,Au is the chemical symbol for gold.,Gold is a precious metal found in various parts of the world.,The chemical symbol for gold is Au.,20
What is the most populous country in the world?,China is the most populous country in the world.,The Leaning Tower of Pisa is a famous structure in Italy.,The most populous country in the world is China.,20
What is the largest mammal in the world?,The blue whale is the largest mammal in the world.,"The Statue of Liberty is located in New York, USA.",The largest mammal in the world is the blue whale.,20
What is the smallest unit of matter?,The atom is the smallest unit of matter.,The Great Wall of China is visible from space.,The smallest unit of matter is the atom.,20
What is the boiling point of water?,The boiling point of water is 100 degrees Celsius.,The Sahara Desert is the largest hot desert in the world.,The boiling point of water is 100 degrees Celsius.,20
Who wrote 'Pride and Prejudice'?,Jane Austen wrote 'Pride and Prejudice'.,The Sydney Opera House is an iconic building in Australia.,Jane Austen wrote 'Pride and Prejudice'.,20
What is the most abundant gas in the Earth's atmosphere?,Nitrogen is the most abundant gas in the Earth's atmosphere.,The Earth revolves around the Sun in an elliptical orbit.,The most abundant gas in the Earth's atmosphere is nitrogen.,20
What is the capital of Italy?,Rome is the capital of Italy.,"Italy is famous for its history, culture, and cuisine. Its capital is Rome. Citations: ['Encyclopedia Britannica']",The capital of Italy is Rome.,20
What is the square root of 64?,The square root of 64 is 8.,The square root is a mathematical operation. The square root of 64 is 8. Citations: ['MathWorld'],The square root of 64 is 8.,20
Who wrote 'To Kill a Mockingbird'?,Harper Lee wrote 'To Kill a Mockingbird'.,'To Kill a Mockingbird' was written by Harper Lee. Citations: ['Literary Review'],Harper Lee wrote 'To Kill a Mockingbird'.,20
